游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
神偷奶爸：小黄人快跑,8.0 ,益智休闲,中文,52℃,2016-05-17,4.1.3,道具收费,中手游,2.3以上,3698,383
孤岛余生2付费完整版(含数据包),7.9 ,模拟经营,"英文, 中文",52℃,2016-04-12,1.2,完全免费,G5,2.3.3以上,1606,1612
地狱边境修改版(含数据包),9.0 ,冒险解谜,中文,52℃,2015-03-13,1.3,完全免费,Playdead,2.3以上,9640,6513
小小盗贼(含数据包),6.4 ,冒险解谜,英文,52℃,2014-10-17,1.2.1,完全免费,Rovio,2.3.3以上,1973,1849
侠盗猎车手:血战唐人街(含数据包),8.2 ,角色扮演,英文,52℃,2015-02-26,1.01,完全免费,Rockstar Games,4.0以上,9708,2858
和风物语,7.5 ,模拟经营,中文,52℃,2015-07-01,1.5.12,完全免费,Nubee,2.3以上,8001,506
踪迹:谋杀之谜游戏汉化版,8.6 ,冒险解谜,中文,52℃,2015-06-17,1.5.2,完全免费,Relentless Software,4.0以上,4388,2919
植物大战僵尸电子市场免验证版(含数据包),6.0 ,策略塔防,英文,52℃,2015-06-04,6.0.1,完全免费,EA,2.3.3以上,1851,225
弹射圆环,5.8 ,益智休闲,英文,52℃,2015-02-17,2.9.6,完全免费,Ultrateam,4.0以上,690,636
QQ欢乐斗地主,4.9 ,棋牌游戏,中文,52℃,2014-10-16,1.2,完全免费,腾讯,1.5以上,513,60
GLU金币修改器,5.0 ,游戏工具,英文,52℃,2014-03-31,3,完全免费,,2.1以上,2415,700
3D极速狂飙:漂移都市,,竞速游戏,中文,52℃,2013-12-17,1.9.9,完全免费,智道科技,2.1以上,977,25
混沌之戒2(含数据包+钛备份),8.7 ,角色扮演,其他,52℃,2013-03-14,1.0.0,完全免费,SQEX,2.3以上,8659,3377
VR网球挑战赛(含数据包),8.7 ,体育运动,中文,52℃,2013-12-07,4.5.4,完全免费,SEGA世嘉,2.3以上,4844,795
超级救火队2全关卡解锁版,5.4 ,益智休闲,中文,52℃,2013-07-22,1.0.0,完全免费,Mediocre,2.3以上,854,569
3D台球,,益智休闲,中文,52℃,2012-09-15,1.8.0,完全免费,,1.5以上,617,72
太平洋海军航空兵完整版,5.5 ,飞行游戏,英文,52℃,2012-06-12,2.6.4,完全免费,DotSight Software,2.1以上,894,94
捕鱼大满贯,5.3 ,益智休闲,中文,51℃,2016-09-26,1.7.7,道具收费,上海时与光企业发展有限公司,4.2以上,985,25
机械挑战(含数据包),5.8 ,益智休闲,"英文, 中文",51℃,2016-09-19,1.4,完全免费,Perchang,4.0.3以上,116,1016
阿尔托的冒险,7.1 ,益智休闲,中文,51℃,2016-07-15,1.3.5,完全免费,Noodlecake,2.3以上,2698,2285
史上最倒霉的游戏,6.0 ,冒险解谜,中文,51℃,2015-12-10,1.1.1,完全免费,Spil Games,2.3以上,1719,563
极品钢琴,5.8 ,益智休闲,英文,51℃,2016-06-08,4.3,完全免费,极品钢琴,2.1以上,743,135
最终幻想6免验证版(含数据包),8.7 ,角色扮演,"中文, 韩文, 日文",51℃,2015-12-04,2.1.6,完全免费,SQEX,3.2以上,5515,1846
