游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
鹿神完整版(含数据包),7.0 ,冒险解谜,英文,28℃,2016-09-07,1.19,完全免费,Crescent Moon,4.0以上,2673,1878
暗影忍者修改版,5.2 ,动作游戏,英文,28℃,2014-09-02,1.1.4,完全免费,Brain Eaters,2.1以上,340,309
辐射:庇护所(含数据包),8.4 ,模拟经营,英文,28℃,2016-08-25,1.7.1,完全免费,Bethesda,4.1以上,8426,3803
真实摩托(含数据包),4.7 ,竞速游戏,"英文, 中文",28℃,2016-08-23,1.0.216,完全免费,Dreamplay,2.3以上,999,486
老狼快跑,,益智休闲,英文,28℃,2016-08-15,2.3,完全免费,Bulkypix,2.0.1以上,78,27
异形工厂(含数据包),7.7 ,射击游戏,"英文, 中文",28℃,2016-08-05,1.5.1,完全免费,Pixelbite StudiOS,4.3以上,2575,945
小小军团(含数据包),7.8 ,策略塔防,中文,28℃,2016-08-03,2.2.1,完全免费,Triniti Interactive Ltd.,2.3以上,876,719
光之骑士(含数据包),5.7 ,动作游戏,中文,28℃,2016-07-14,1.0.8,完全免费,,2.3.3以上,779,370
神树小奇兵:罗宾之怒,8.1 ,角色扮演,中文,28℃,2016-07-07,2.0.5,道具收费,北京掌趣科技股份有限公司,4.0以上,4599,289
拳皇97,5.3 ,格斗游戏,中文,28℃,2016-06-08,2.8.6745,道具收费,北京武耀科技有限公司,2.3.3以上,204,102
机器人历险记,6.7 ,冒险解谜,英文,28℃,2016-05-24,1.1,完全免费,Martin Magni,2.3.3以上,398,330
忍者释放,4.8 ,动作游戏,英文,28℃,2016-05-07,2.3,完全免费,Arkadium Games,4.0以上,95,83
神偷鲍勃2：双重麻烦(含数据包),8.0 ,策略塔防,英文,28℃,2016-04-29,1.3.0,完全免费,Chillingo,4.1以上,2045,567
行尸走肉:米琼恩(含数据包),7.2 ,冒险解谜,"英文, 中文",28℃,2016-04-29,1.11,完全免费,Telltale Games,2.3.3以上,3179,1731
小小守卫者(含数据包),8.4 ,策略塔防,英文,28℃,2016-04-26,1.1.5,完全免费,Kurechii,4.0以上,7569,2700
OPUS地球计划,7.6 ,模拟经营,中文,28℃,2016-04-15,1.4.1,完全免费,北京唯我乐园信息技术有限公司,4.1以上,2985,1831
最佳视角(含数据包),6.2 ,冒险解谜,"英文, 中文",28℃,2016-03-24,1.6,完全免费,,4.0.3以上,408,1065
上帝也疯狂(含数据包),7.8 ,模拟经营,英文,28℃,2016-03-24,0.0.29,完全免费,DeNA Corp.,4.0.3以上,691,793
奇想齿轮市场版,5.1 ,益智休闲,英文,28℃,2016-02-01,1.1,完全免费,Lazy 8 Studios,2.2以上,110,48
粘土世界,7.7 ,益智休闲,中文,28℃,2014-12-19,1.9,完全免费,Zynga,2.3以上,722,150
时空穿越完整版(含数据包),5.4 ,冒险解谜,英文,28℃,2015-05-29,1.1,完全免费,osao,2.3.3以上,2174,556
莎凡特,,动作游戏,英文,28℃,2015-11-23,1.70.6,完全免费,,2.3以上,102,49
暗黑斩2,5.2 ,动作游戏,英文,28℃,2015-11-03,1.26,完全免费,veewo studio,3.0以上,1806,470
社交梦物语汉化版,7.5 ,模拟经营,中文,28℃,2014-09-19,1.1.1,完全免费,Kairosoft,2.3.3以上,715,265
砸酒瓶,7.1 ,益智休闲,英文,28℃,2015-09-17,1.1.0,完全免费,Droid Hermes,2.3以上,514,24
群猫大战,5.1 ,益智休闲,英文,28℃,2015-09-16,2.5,完全免费,WestRiver,2.3以上,427,67
狙击手汉化版,4.7 ,射击游戏,中文,28℃,2011-07-21,1.2,完全免费,Words Mobile,1.5以上,185,49
空中小岛完整版(含数据包),5.4 ,冒险解谜,中文,28℃,2014-03-21,1,完全免费,G5,2.3以上,311,753
2XL极限摩托,,竞速游戏,英文,28℃,2015-09-16,1.1.4,完全免费,2XL Games,3.0以上,269,120
疯狂超市2完整版(含数据包),5.9 ,冒险解谜,中文,28℃,2013-12-05,1.3,完全免费,G5,2.1以上,222,264
村庄日记,7.5 ,益智休闲,英文,28℃,2015-09-10,1.1.3,完全免费,Chillingo,4.0.3以上,607,72
玩具塔防4:星海战争修改版(含数据包),8.0 ,策略塔防,中文,28℃,2014-05-12,1,完全免费,Melesta Games,2.3.3以上,791,357
追梦(含数据包),6.0 ,音乐游戏,中文,28℃,2015-07-13,1.2,完全免费,ibuki,2.3以上,2279,2076
烧绳子世界版,,益智休闲,英文,28℃,2015-07-06,1.0.6,完全免费,Big Blue Bubble,2.3.3以上,63,41
四季之魂(含数据包),7.5 ,冒险解谜,英文,28℃,2015-06-19,2,完全免费,Noxus Ltd,4.0以上,683,646
都市传说:逃离杉泽村汉化版,5.3 ,冒险解谜,中文,28℃,2015-06-18,1.0.0,完全免费,SEEC,4.0以上,1438,503
微型桌球完整版,5.1 ,体育运动,英文,28℃,2015-01-20,1.1,完全免费,Botond FM Bt.,2.3以上,148,191
挤痘痘,,益智休闲,英文,28℃,2015-04-27,20,完全免费,Room Candy Games,2.2以上,78,29
捕鱼达人土豪金,5.1 ,益智休闲,中文,28℃,2015-04-23,1.1.4,道具收费,触控科技,2.2以上,145,25
任务守卫者,,角色扮演,英文,28℃,2015-04-23,1.71,完全免费,Tyson Ibele,2.3以上,541,233
水果大逃亡,,益智休闲,英文,28℃,2015-03-12,2.0.4,完全免费,MPC GAMES,2.3以上,98,25
开心酷跑（超人来袭）,,益智休闲,中文,28℃,2015-02-10,4.1,道具收费,深圳海富荣,2.1以上,209,95
疯狂捕鱼2,5.1 ,益智休闲,中文,28℃,2015-02-11,2.0.4,道具收费,深圳市艾德聚乐科技有限公司,2.1以上,91,24
弯钩机关,5.6 ,益智休闲,英文,28℃,2015-02-03,1.01,完全免费,Rainbow Train,2.3以上,264,566
机器人大战高清版,,射击游戏,英文,28℃,2015-01-26,1.4.1j,完全免费,Fenix Fire Entertainment,2.3.3以上,215,150
重拳出击,7.9 ,益智休闲,英文,28℃,2014-11-04,1.2.5,完全免费,Noodlecake,2.3以上,802,161
不机械城(含数据包),7.9 ,冒险解谜,英文,28℃,2014-10-09,1.02,完全免费,Teotl Studios,4.0.3以上,708,1066
小怪兽求包养3,8.5 ,益智休闲,英文,28℃,2014-09-01,1.0.0,完全免费,Bit Ate Bit,2.3以上,3202,381
吟唱勇士,7.7 ,角色扮演,英文,28℃,2014-06-05,1.4.6,完全免费,TreeFortress Games,4.0以上,601,54
死亡漩涡2修改版(含数据包),5.1 ,射击游戏,英文,28℃,2014-05-28,1.1.6,完全免费,N3V Games,3.0以上,197,275
会说话的泰迪熊,5.0 ,益智休闲,英文,28℃,2014-05-15,2.0.5.1,完全免费,Talking Toys,2.3.3以上,61,26
《黑暗破坏神3》游戏指南,5.2 ,游戏工具,中文,28℃,2014-04-23,3.0.11,完全免费,YT,2.2以上,89,28
猴子岛闯关2,8.0 ,益智休闲,英文,28℃,2014-04-16,1.3.8,完全免费,GameHouse,1.6以上,679,28
极速枢纽,5.0 ,音乐游戏,英文,28℃,2014-04-03,1.53,完全免费,,2.3以上,119,156
史上最贱暴走游戏,,冒险解谜,英文,28℃,2014-03-13,1.2.3,完全免费,,2.2以上,189,60
火箭机器人(含数据包),5.2 ,益智休闲,英文,28℃,2014-02-11,2,完全免费,Bad Kraken Games,4.2以上,161,342
角斗士之怒(含数据包),7.9 ,格斗游戏,英文,28℃,2013-12-07,1.1.1,完全免费,Gamelion Studios,2.3.3以上,755,82
迷你英雄:背水一战(含数据包),8.0 ,射击游戏,英文,28℃,2013-12-06,1.21,完全免费,Triniti Interactive Ltd.,2.0.1以上,866,151
黑暗生物(含数据包),5.1 ,益智休闲,中文,28℃,2013-12-06,2,完全免费,MTV Networks,2.3.3以上,190,102
虎胆龙威,7.3 ,射击游戏,英文,28℃,2013-07-05,1.4,完全免费,"Fox Digital Entertainment, Inc",2.2以上,868,42
安琪拉之歌,7.8 ,冒险解谜,英文,28℃,2013-06-27,1.1a,完全免费,,4.0以上,682,948
疲惫的小鸟,,益智休闲,英文,28℃,2013-06-12,6,完全免费,CTU GAMES,2.2以上,52,0
俄罗斯方块,,益智休闲,英文,28℃,2013-05-21,1.0.29,完全免费,EA,1.6以上,42,12
迷你英雄:并肩作战(含数据包),8.6 ,射击游戏,英文,28℃,2013-04-22,1.21,完全免费,Triniti Interactive Ltd.,2.0.1以上,5247,378
足球巨星2012,,体育运动,"英文, 韩文",28℃,2013-04-11,1.1.3,完全免费,GAMEVIL,2.2以上,277,40
斗兽场勇士,4.8 ,动作游戏,"英文, 韩文",28℃,2011-12-12,1.0.1,完全免费,GAMEVIL,2.2以上,111,58
,,,,,,,,,,,
